image_id,image_path,xml_path,width,height,boxes,RBC,WBC,Platelets,total_cells
BloodImage_00000,/Users/lunis/PycharmProjects/machine_learning/practice/neural_networks/bccd/data/raw/BCCD_Dataset-master/BCCD/JPEGImages/BloodImage_00000.jpg,/Users/lunis/PycharmProjects/machine_learning/practice/neural_networks/bccd/data/raw/BCCD_Dataset-master/BCCD/Annotations/BloodImage_00000.xml,640,480,"[{""class"": ""WBC"", ""xmin"": 260.0, ""ymin"": 177.0, ""xmax"": 491.0, ""ymax"": 376.0}, {""class"": ""RBC"", ""xmin"": 78.0, ""ymin"": 336.0, ""xmax"": 184.0, ""ymax"": 435.0}, {""class"": ""RBC"", ""xmin"": 63.0, ""ymin"": 237.0, ""xmax"": 169.0, ""ymax"": 336.0}, {""class"": ""RBC"", ""xmin"": 214.0, ""ymin"": 362.0, ""xmax"": 320.0, ""ymax"": 461.0}, {""class"": ""RBC"", ""xmin"": 414.0, ""ymin"": 352.0, ""xmax"": 506.0, ""ymax"": 445.0}, {""class"": ""RBC"", ""xmin"": 555.0, ""ymin"": 356.0, ""xmax"": 640.0, ""ymax"": 455.0}, {""class"": ""RBC"", ""xmin"": 469.0, ""ymin"": 412.0, ""xmax"": 567.0, ""ymax"": 480.0}, {""class"": ""RBC"", ""xmin"": 1.0, ""ymin"": 333.0, ""xmax"": 87.0, ""ymax"": 437.0}, {""class"": ""RBC"", ""xmin"": 4.0, ""ymin"": 406.0, ""xmax"": 95.0, ""ymax"": 480.0}, {""class"": ""RBC"", ""xmin"": 155.0, ""ymin"": 74.0, ""xmax"": 247.0, ""ymax"": 174.0}, {""class"": ""RBC"", ""xmin"": 11.0, ""ymin"": 84.0, ""xmax"": 104.0, ""ymax"": 162.0}, {""class"": ""RBC"", ""xmin"": 534.0, ""ymin"": 39.0, ""xmax"": 639.0, ""ymax"": 139.0}, {""class"": ""RBC"", ""xmin"": 547.0, ""ymin"": 195.0, ""xmax"": 640.0, ""ymax"": 295.0}, {""class"": ""RBC"", ""xmin"": 388.0, ""ymin"": 11.0, ""xmax"": 481.0, ""ymax"": 111.0}, {""class"": ""RBC"", ""xmin"": 171.0, ""ymin"": 175.0, ""xmax"": 264.0, ""ymax"": 275.0}, {""class"": ""RBC"", ""xmin"": 260.0, ""ymin"": 1.0, ""xmax"": 374.0, ""ymax"": 83.0}, {""class"": ""RBC"", ""xmin"": 229.0, ""ymin"": 91.0, ""xmax"": 343.0, ""ymax"": 174.0}, {""class"": ""RBC"", ""xmin"": 69.0, ""ymin"": 144.0, ""xmax"": 184.0, ""ymax"": 235.0}, {""class"": ""RBC"", ""xmin"": 482.0, ""ymin"": 131.0, ""xmax"": 594.0, ""ymax"": 230.0}, {""class"": ""RBC"", ""xmin"": 368.0, ""ymin"": 89.0, ""xmax"": 464.0, ""ymax"": 176.0}]",19,1,0,20
BloodImage_00001,/Users/lunis/PycharmProjects/machine_learning/practice/neural_networks/bccd/data/raw/BCCD_Dataset-master/BCCD/JPEGImages/BloodImage_00001.jpg,/Users/lunis/PycharmProjects/machine_learning/practice/neural_networks/bccd/data/raw/BCCD_Dataset-master/BCCD/Annotations/BloodImage_00001.xml,640,480,"[{""class"": ""WBC"", ""xmin"": 68.0, ""ymin"": 315.0, ""xmax"": 286.0, ""ymax"": 480.0}, {""class"": ""RBC"", ""xmin"": 346.0, ""ymin"": 361.0, ""xmax"": 446.0, ""ymax"": 454.0}, {""class"": ""RBC"", ""xmin"": 53.0, ""ymin"": 179.0, ""xmax"": 146.0, ""ymax"": 299.0}, {""class"": ""RBC"", ""xmin"": 449.0, ""ymin"": 400.0, ""xmax"": 536.0, ""ymax"": 480.0}, {""class"": ""RBC"", ""xmin"": 461.0, ""ymin"": 132.0, ""xmax"": 548.0, ""ymax"": 212.0}, {""class"": ""RBC"", ""xmin"": 454.0, ""ymin"": 295.0, ""xmax"": 541.0, ""ymax"": 375.0}, {""class"": ""RBC"", ""xmin"": 417.0, ""ymin"": 283.0, ""xmax"": 508.0, ""ymax"": 383.0}, {""class"": ""RBC"", ""xmin"": 278.0, ""ymin"": 342.0, ""xmax"": 369.0, ""ymax"": 451.0}, {""class"": ""RBC"", ""xmin"": 545.0, ""ymin"": 62.0, ""xmax"": 636.0, ""ymax"": 159.0}, {""class"": ""RBC"", ""xmin"": 485.0, ""ymin"": 91.0, ""xmax"": 576.0, ""ymax"": 188.0}, {""class"": ""RBC"", ""xmin"": 376.0, ""ymin"": 171.0, ""xmax"": 438.0, ""ymax"": 253.0}, {""class"": ""RBC"", ""xmin"": 329.0, ""ymin"": 177.0, ""xmax"": 395.0, ""ymax"": 271.0}, {""class"": ""RBC"", ""xmin"": 291.0, ""ymin"": 59.0, ""xmax"": 407.0, ""ymax"": 168.0}, {""class"": ""RBC"", ""xmin"": 299.0, ""ymin"": 1.0, ""xmax"": 404.0, ""ymax"": 68.0}, {""class"": ""RBC"", ""xmin"": 346.0, ""ymin"": 26.0, ""xmax"": 449.0, ""ymax"": 138.0}, {""class"": ""RBC"", ""xmin"": 134.0, ""ymin"": 1.0, ""xmax"": 241.0, ""ymax"": 95.0}, {""class"": ""RBC"", ""xmin"": 1.0, ""ymin"": 38.0, ""xmax"": 98.0, ""ymax"": 164.0}, {""class"": ""RBC"", ""xmin"": 165.0, ""ymin"": 160.0, ""xmax"": 257.0, ""ymax"": 264.0}, {""class"": ""RBC"", ""xmin"": 464.0, ""ymin"": 209.0, ""xmax"": 566.0, ""ymax"": 319.0}]",18,1,0,19
BloodImage_00002,/Users/lunis/PycharmProjects/machine_learning/practice/neural_networks/bccd/data/raw/BCCD_Dataset-master/BCCD/JPEGImages/BloodImage_00002.jpg,/Users/lunis/PycharmProjects/machine_learning/practice/neural_networks/bccd/data/raw/BCCD_Dataset-master/BCCD/Annotations/BloodImage_00002.xml,640,480,"[{""class"": ""RBC"", ""xmin"": 385.0, ""ymin"": 98.0, ""xmax"": 523.0, ""ymax"": 198.0}, {""class"": ""RBC"", ""xmin"": 384.0, ""ymin"": 164.0, ""xmax"": 499.0, ""ymax"": 260.0}, {""class"": ""RBC"", ""xmin"": 101.0, ""ymin"": 120.0, ""xmax"": 224.0, ""ymax"": 222.0}, {""class"": ""RBC"", ""xmin"": 130.0, ""ymin"": 344.0, ""xmax"": 234.0, ""ymax"": 443.0}, {""class"": ""RBC"", ""xmin"": 161.0, ""ymin"": 381.0, ""xmax"": 254.0, ""ymax"": 480.0}, {""class"": ""RBC"", ""xmin"": 14.0, ""ymin"": 228.0, ""xmax"": 123.0, ""ymax"": 344.0}, {""class"": ""RBC"", ""xmin"": 306.0, ""ymin"": 293.0, ""xmax"": 415.0, ""ymax"": 409.0}, {""class"": ""RBC"", ""xmin"": 531.0, ""ymin"": 103.0, ""xmax"": 632.0, ""ymax"": 221.0}, {""class"": ""RBC"", ""xmin"": 492.0, ""ymin"": 233.0, ""xmax"": 593.0, ""ymax"": 347.0}, {""class"": ""RBC"", ""xmin"": 364.0, ""ymin"": 261.0, ""xmax"": 465.0, ""ymax"": 375.0}, {""class"": ""RBC"", ""xmin"": 264.0, ""ymin"": 60.0, ""xmax"": 365.0, ""ymax"": 174.0}, {""class"": ""RBC"", ""xmin"": 249.0, ""ymin"": 174.0, ""xmax"": 369.0, ""ymax"": 296.0}, {""class"": ""WBC"", ""xmin"": 283.0, ""ymin"": 1.0, ""xmax"": 567.0, ""ymax"": 106.0}, {""class"": ""RBC"", ""xmin"": 109.0, ""ymin"": 1.0, ""xmax"": 202.0, ""ymax"": 98.0}, {""class"": ""RBC"", ""xmin"": 135.0, ""ymin"": 66.0, ""xmax"": 228.0, ""ymax"": 164.0}, {""class"": ""RBC"", ""xmin"": 480.0, ""ymin"": 374.0, ""xmax"": 590.0, ""ymax"": 480.0}]",15,1,0,16
BloodImage_00003,/Users/lunis/PycharmProjects/machine_learning/practice/neural_networks/bccd/data/raw/BCCD_Dataset-master/BCCD/JPEGImages/BloodImage_00003.jpg,/Users/lunis/PycharmProjects/machine_learning/practice/neural_networks/bccd/data/raw/BCCD_Dataset-master/BCCD/Annotations/BloodImage_00003.xml,640,480,"[{""class"": ""WBC"", ""xmin"": 127.0, ""ymin"": 40.0, ""xmax"": 344.0, ""ymax"": 226.0}, {""class"": ""RBC"", ""xmin"": 317.0, ""ymin"": 93.0, ""xmax"": 424.0, ""ymax"": 195.0}, {""class"": ""RBC"", ""xmin"": 379.0, ""ymin"": 146.0, ""xmax"": 471.0, ""ymax"": 234.0}, {""class"": ""RBC"", ""xmin"": 504.0, ""ymin"": 210.0, ""xmax"": 614.0, ""ymax"": 302.0}, {""class"": ""RBC"", ""xmin"": 417.0, ""ymin"": 248.0, ""xmax"": 553.0, ""ymax"": 369.0}, {""class"": ""RBC"", ""xmin"": 514.0, ""ymin"": 13.0, ""xmax"": 615.0, ""ymax"": 136.0}, {""class"": ""RBC"", ""xmin"": 417.0, ""ymin"": 1.0, ""xmax"": 520.0, ""ymax"": 88.0}, {""class"": ""RBC"", ""xmin"": 1.0, ""ymin"": 126.0, ""xmax"": 79.0, ""ymax"": 240.0}, {""class"": ""RBC"", ""xmin"": 47.0, ""ymin"": 202.0, ""xmax"": 158.0, ""ymax"": 317.0}, {""class"": ""RBC"", ""xmin"": 314.0, ""ymin"": 284.0, ""xmax"": 424.0, ""ymax"": 377.0}, {""class"": ""RBC"", ""xmin"": 365.0, ""ymin"": 350.0, ""xmax"": 484.0, ""ymax"": 451.0}, {""class"": ""RBC"", ""xmin"": 1.0, ""ymin"": 347.0, ""xmax"": 86.0, ""ymax"": 434.0}, {""class"": ""RBC"", ""xmin"": 49.0, ""ymin"": 396.0, ""xmax"": 183.0, ""ymax"": 480.0}, {""class"": ""RBC"", ""xmin"": 514.0, ""ymin"": 385.0, ""xmax"": 595.0, ""ymax"": 477.0}, {""class"": ""RBC"", ""xmin"": 56.0, ""ymin"": 66.0, ""xmax"": 151.0, ""ymax"": 211.0}, {""class"": ""RBC"", ""xmin"": 213.0, ""ymin"": 253.0, ""xmax"": 333.0, ""ymax"": 368.0}, {""class"": ""Platelets"", ""xmin"": 335.0, ""ymin"": 268.0, ""xmax"": 370.0, ""ymax"": 299.0}]",15,1,1,17
BloodImage_00004,/Users/lunis/PycharmProjects/machine_learning/practice/neural_networks/bccd/data/raw/BCCD_Dataset-master/BCCD/JPEGImages/BloodImage_00004.jpg,/Users/lunis/PycharmProjects/machine_learning/practice/neural_networks/bccd/data/raw/BCCD_Dataset-master/BCCD/Annotations/BloodImage_00004.xml,640,480,"[{""class"": ""WBC"", ""xmin"": 109.0, ""ymin"": 134.0, ""xmax"": 324.0, ""ymax"": 321.0}, {""class"": ""RBC"", ""xmin"": 432.0, ""ymin"": 242.0, ""xmax"": 528.0, ""ymax"": 325.0}, {""class"": ""RBC"", ""xmin"": 510.0, ""ymin"": 112.0, ""xmax"": 606.0, ""ymax"": 195.0}, {""class"": ""RBC"", ""xmin"": 482.0, ""ymin"": 361.0, ""xmax"": 594.0, ""ymax"": 475.0}, {""class"": ""RBC"", ""xmin"": 75.0, ""ymin"": 281.0, ""xmax"": 166.0, ""ymax"": 375.0}, {""class"": ""RBC"", ""xmin"": 38.0, ""ymin"": 1.0, ""xmax"": 147.0, ""ymax"": 62.0}, {""class"": ""RBC"", ""xmin"": 288.0, ""ymin"": 33.0, ""xmax"": 390.0, ""ymax"": 131.0}, {""class"": ""RBC"", ""xmin"": 411.0, ""ymin"": 66.0, ""xmax"": 527.0, ""ymax"": 185.0}, {""class"": ""RBC"", ""xmin"": 1.0, ""ymin"": 82.0, ""xmax"": 102.0, ""ymax"": 198.0}, {""class"": ""RBC"", ""xmin"": 1.0, ""ymin"": 283.0, ""xmax"": 81.0, ""ymax"": 372.0}, {""class"": ""RBC"", ""xmin"": 1.0, ""ymin"": 315.0, ""xmax"": 78.0, ""ymax"": 397.0}, {""class"": ""RBC"", ""xmin"": 391.0, ""ymin"": 373.0, ""xmax"": 469.0, ""ymax"": 455.0}, {""class"": ""Platelets"", ""xmin"": 127.0, ""ymin"": 47.0, ""xmax"": 163.0, ""ymax"": 81.0}]",11,1,1,13
BloodImage_00005,/Users/lunis/PycharmProjects/machine_learning/practice/neural_networks/bccd/data/raw/BCCD_Dataset-master/BCCD/JPEGImages/BloodImage_00005.jpg,/Users/lunis/PycharmProjects/machine_learning/practice/neural_networks/bccd/data/raw/BCCD_Dataset-master/BCCD/Annotations/BloodImage_00005.xml,640,480,"[{""class"": ""RBC"", ""xmin"": 273.0, ""ymin"": 115.0, ""xmax"": 386.0, ""ymax"": 222.0}, {""class"": ""RBC"", ""xmin"": 56.0, ""ymin"": 103.0, ""xmax"": 169.0, ""ymax"": 210.0}, {""class"": ""RBC"", ""xmin"": 414.0, ""ymin"": 42.0, ""xmax"": 518.0, ""ymax"": 170.0}, {""class"": ""RBC"", ""xmin"": 536.0, ""ymin"": 74.0, ""xmax"": 640.0, ""ymax"": 202.0}, {""class"": ""RBC"", ""xmin"": 474.0, ""ymin"": 193.0, ""xmax"": 578.0, ""ymax"": 321.0}, {""class"": ""RBC"", ""xmin"": 466.0, ""ymin"": 337.0, ""xmax"": 570.0, ""ymax"": 465.0}, {""class"": ""RBC"", ""xmin"": 420.0, ""ymin"": 352.0, ""xmax"": 524.0, ""ymax"": 480.0}, {""class"": ""RBC"", ""xmin"": 215.0, ""ymin"": 174.0, ""xmax"": 314.0, ""ymax"": 281.0}, {""class"": ""RBC"", ""xmin"": 380.0, ""ymin"": 181.0, ""xmax"": 479.0, ""ymax"": 288.0}, {""class"": ""RBC"", ""xmin"": 1.0, ""ymin"": 64.0, ""xmax"": 99.0, ""ymax"": 171.0}, {""class"": ""RBC"", ""xmin"": 324.0, ""ymin"": 1.0, ""xmax"": 444.0, ""ymax"": 87.0}, {""class"": ""RBC"", ""xmin"": 162.0, ""ymin"": 1.0, ""xmax"": 290.0, ""ymax"": 70.0}, {""class"": ""RBC"", ""xmin"": 173.0, ""ymin"": 165.0, ""xmax"": 260.0, ""ymax"": 270.0}, {""class"": ""RBC"", ""xmin"": 139.0, ""ymin"": 191.0, ""xmax"": 226.0, ""ymax"": 296.0}, {""class"": ""RBC"", ""xmin"": 103.0, ""ymin"": 211.0, ""xmax"": 190.0, ""ymax"": 316.0}, {""class"": ""RBC"", ""xmin"": 29.0, ""ymin"": 231.0, ""xmax"": 116.0, ""ymax"": 336.0}, {""class"": ""Platelets"", ""xmin"": 170.0, ""ymin"": 65.0, ""xmax"": 207.0, ""ymax"": 100.0}, {""class"": ""Platelets"", ""xmin"": 6.0, ""ymin"": 401.0, ""xmax"": 43.0, ""ymax"": 436.0}, {""class"": ""Platelets"", ""xmin"": 124.0, ""ymin"": 305.0, ""xmax"": 161.0, ""ymax"": 340.0}, {""class"": ""WBC"", ""xmin"": 230.0, ""ymin"": 288.0, ""xmax"": 441.0, ""ymax"": 480.0}, {""class"": ""RBC"", ""xmin"": 151.0, ""ymin"": 298.0, ""xmax"": 236.0, ""ymax"": 423.0}, {""class"": ""RBC"", ""xmin"": 63.0, ""ymin"": 19.0, ""xmax"": 174.0, ""ymax"": 97.0}]",18,1,3,22
BloodImage_00006,/Users/lunis/PycharmProjects/machine_learning/practice/neural_networks/bccd/data/raw/BCCD_Dataset-master/BCCD/JPEGImages/BloodImage_00006.jpg,/Users/lunis/PycharmProjects/machine_learning/practice/neural_networks/bccd/data/raw/BCCD_Dataset-master/BCCD/Annotations/BloodImage_00006.xml,640,480,"[{""class"": ""WBC"", ""xmin"": 117.0, ""ymin"": 190.0, ""xmax"": 290.0, ""ymax"": 360.0}, {""class"": ""Platelets"", ""xmin"": 89.0, ""ymin"": 184.0, ""xmax"": 131.0, ""ymax"": 221.0}, {""class"": ""Platelets"", ""xmin"": 65.0, ""ymin"": 203.0, ""xmax"": 107.0, ""ymax"": 240.0}, {""class"": ""Platelets"", ""xmin"": 333.0, ""ymin"": 1.0, ""xmax"": 372.0, ""ymax"": 30.0}, {""class"": ""RBC"", ""xmin"": 79.0, ""ymin"": 357.0, ""xmax"": 202.0, ""ymax"": 459.0}, {""class"": ""RBC"", ""xmin"": 495.0, ""ymin"": 1.0, ""xmax"": 620.0, ""ymax"": 114.0}, {""class"": ""RBC"", ""xmin"": 353.0, ""ymin"": 327.0, ""xmax"": 476.0, ""ymax"": 463.0}, {""class"": ""RBC"", ""xmin"": 449.0, ""ymin"": 319.0, ""xmax"": 565.0, ""ymax"": 393.0}, {""class"": ""RBC"", ""xmin"": 291.0, ""ymin"": 104.0, ""xmax"": 403.0, ""ymax"": 194.0}, {""class"": ""RBC"", ""xmin"": 211.0, ""ymin"": 76.0, ""xmax"": 323.0, ""ymax"": 166.0}, {""class"": ""RBC"", ""xmin"": 207.0, ""ymin"": 350.0, ""xmax"": 319.0, ""ymax"": 440.0}, {""class"": ""RBC"", ""xmin"": 253.0, ""ymin"": 298.0, ""xmax"": 371.0, ""ymax"": 403.0}, {""class"": ""RBC"", ""xmin"": 546.0, ""ymin"": 368.0, ""xmax"": 639.0, ""ymax"": 480.0}, {""class"": ""RBC"", ""xmin"": 482.0, ""ymin"": 223.0, ""xmax"": 617.0, ""ymax"": 327.0}, {""class"": ""RBC"", ""xmin"": 503.0, ""ymin"": 160.0, ""xmax"": 619.0, ""ymax"": 246.0}, {""class"": ""RBC"", ""xmin"": 373.0, ""ymin"": 142.0, ""xmax"": 489.0, ""ymax"": 235.0}, {""class"": ""RBC"", ""xmin"": 108.0, ""ymin"": 121.0, ""xmax"": 235.0, ""ymax"": 216.0}, {""class"": ""RBC"", ""xmin"": 16.0, ""ymin"": 59.0, ""xmax"": 143.0, ""ymax"": 154.0}]",14,1,3,18
BloodImage_00007,/Users/lunis/PycharmProjects/machine_learning/practice/neural_networks/bccd/data/raw/BCCD_Dataset-master/BCCD/JPEGImages/BloodImage_00007.jpg,/Users/lunis/PycharmProjects/machine_learning/practice/neural_networks/bccd/data/raw/BCCD_Dataset-master/BCCD/Annotations/BloodImage_00007.xml,640,480,"[{""class"": ""WBC"", ""xmin"": 193.0, ""ymin"": 92.0, ""xmax"": 387.0, ""ymax"": 285.0}, {""class"": ""RBC"", ""xmin"": 17.0, ""ymin"": 298.0, ""xmax"": 134.0, ""ymax"": 402.0}, {""class"": ""RBC"", ""xmin"": 64.0, ""ymin"": 372.0, ""xmax"": 175.0, ""ymax"": 479.0}, {""class"": ""RBC"", ""xmin"": 119.0, ""ymin"": 330.0, ""xmax"": 230.0, ""ymax"": 437.0}, {""class"": ""RBC"", ""xmin"": 169.0, ""ymin"": 265.0, ""xmax"": 259.0, ""ymax"": 374.0}, {""class"": ""RBC"", ""xmin"": 191.0, ""ymin"": 291.0, ""xmax"": 281.0, ""ymax"": 400.0}, {""class"": ""RBC"", ""xmin"": 213.0, ""ymin"": 305.0, ""xmax"": 303.0, ""ymax"": 414.0}, {""class"": ""RBC"", ""xmin"": 247.0, ""ymin"": 315.0, ""xmax"": 337.0, ""ymax"": 424.0}, {""class"": ""RBC"", ""xmin"": 495.0, ""ymin"": 300.0, ""xmax"": 601.0, ""ymax"": 402.0}, {""class"": ""RBC"", ""xmin"": 534.0, ""ymin"": 371.0, ""xmax"": 640.0, ""ymax"": 473.0}, {""class"": ""RBC"", ""xmin"": 510.0, ""ymin"": 7.0, ""xmax"": 616.0, ""ymax"": 109.0}, {""class"": ""RBC"", ""xmin"": 515.0, ""ymin"": 44.0, ""xmax"": 639.0, ""ymax"": 152.0}, {""class"": ""RBC"", ""xmin"": 18.0, ""ymin"": 124.0, ""xmax"": 142.0, ""ymax"": 232.0}, {""class"": ""RBC"", ""xmin"": 70.0, ""ymin"": 63.0, ""xmax"": 194.0, ""ymax"": 171.0}, {""class"": ""RBC"", ""xmin"": 19.0, ""ymin"": 29.0, ""xmax"": 143.0, ""ymax"": 137.0}, {""class"": ""RBC"", ""xmin"": 270.0, ""ymin"": 1.0, ""xmax"": 392.0, ""ymax"": 71.0}, {""class"": ""RBC"", ""xmin"": 254.0, ""ymin"": 427.0, ""xmax"": 340.0, ""ymax"": 480.0}, {""class"": ""RBC"", ""xmin"": 298.0, ""ymin"": 434.0, ""xmax"": 381.0, ""ymax"": 480.0}]",17,1,0,18
BloodImage_00008,/Users/lunis/PycharmProjects/machine_learning/practice/neural_networks/bccd/data/raw/BCCD_Dataset-master/BCCD/JPEGImages/BloodImage_00008.jpg,/Users/lunis/PycharmProjects/machine_learning/practice/neural_networks/bccd/data/raw/BCCD_Dataset-master/BCCD/Annotations/BloodImage_00008.xml,640,480,"[{""class"": ""WBC"", ""xmin"": 42.0, ""ymin"": 183.0, ""xmax"": 277.0, ""ymax"": 381.0}, {""class"": ""RBC"", ""xmin"": 398.0, ""ymin"": 222.0, ""xmax"": 519.0, ""ymax"": 330.0}, {""class"": ""RBC"", ""xmin"": 505.0, ""ymin"": 103.0, ""xmax"": 626.0, ""ymax"": 211.0}, {""class"": ""RBC"", ""xmin"": 366.0, ""ymin"": 315.0, ""xmax"": 472.0, ""ymax"": 413.0}, {""class"": ""RBC"", ""xmin"": 456.0, ""ymin"": 312.0, ""xmax"": 562.0, ""ymax"": 410.0}, {""class"": ""RBC"", ""xmin"": 524.0, ""ymin"": 250.0, ""xmax"": 630.0, ""ymax"": 348.0}, {""class"": ""RBC"", ""xmin"": 534.0, ""ymin"": 335.0, ""xmax"": 640.0, ""ymax"": 433.0}, {""class"": ""RBC"", ""xmin"": 353.0, ""ymin"": 43.0, ""xmax"": 459.0, ""ymax"": 141.0}, {""class"": ""RBC"", ""xmin"": 316.0, ""ymin"": 43.0, ""xmax"": 422.0, ""ymax"": 141.0}, {""class"": ""RBC"", ""xmin"": 265.0, ""ymin"": 25.0, ""xmax"": 371.0, ""ymax"": 123.0}, {""class"": ""RBC"", ""xmin"": 221.0, ""ymin"": 18.0, ""xmax"": 327.0, ""ymax"": 116.0}, {""class"": ""RBC"", ""xmin"": 109.0, ""ymin"": 1.0, ""xmax"": 221.0, ""ymax"": 85.0}, {""class"": ""RBC"", ""xmin"": 1.0, ""ymin"": 166.0, ""xmax"": 96.0, ""ymax"": 299.0}, {""class"": ""RBC"", ""xmin"": 263.0, ""ymin"": 402.0, ""xmax"": 365.0, ""ymax"": 480.0}, {""class"": ""RBC"", ""xmin"": 178.0, ""ymin"": 402.0, ""xmax"": 280.0, ""ymax"": 480.0}, {""class"": ""RBC"", ""xmin"": 1.0, ""ymin"": 1.0, ""xmax"": 102.0, ""ymax"": 77.0}, {""class"": ""RBC"", ""xmin"": 196.0, ""ymin"": 135.0, ""xmax"": 313.0, ""ymax"": 215.0}, {""class"": ""RBC"", ""xmin"": 447.0, ""ymin"": 392.0, ""xmax"": 607.0, ""ymax"": 480.0}, {""class"": ""RBC"", ""xmin"": 148.0, ""ymin"": 62.0, ""xmax"": 234.0, ""ymax"": 172.0}, {""class"": ""RBC"", ""xmin"": 438.0, ""ymin"": 1.0, ""xmax"": 564.0, ""ymax"": 85.0}]",19,1,0,20
BloodImage_00009,/Users/lunis/PycharmProjects/machine_learning/practice/neural_networks/bccd/data/raw/BCCD_Dataset-master/BCCD/JPEGImages/BloodImage_00009.jpg,/Users/lunis/PycharmProjects/machine_learning/practice/neural_networks/bccd/data/raw/BCCD_Dataset-master/BCCD/Annotations/BloodImage_00009.xml,640,480,"[{""class"": ""WBC"", ""xmin"": 23.0, ""ymin"": 137.0, ""xmax"": 255.0, ""ymax"": 423.0}, {""class"": ""RBC"", ""xmin"": 441.0, ""ymin"": 324.0, ""xmax"": 575.0, ""ymax"": 423.0}, {""class"": ""RBC"", ""xmin"": 372.0, ""ymin"": 192.0, ""xmax"": 468.0, ""ymax"": 279.0}, {""class"": ""RBC"", ""xmin"": 305.0, ""ymin"": 213.0, ""xmax"": 401.0, ""ymax"": 300.0}, {""class"": ""RBC"", ""xmin"": 226.0, ""ymin"": 288.0, ""xmax"": 324.0, ""ymax"": 439.0}, {""class"": ""RBC"", ""xmin"": 313.0, ""ymin"": 318.0, ""xmax"": 408.0, ""ymax"": 414.0}, {""class"": ""RBC"", ""xmin"": 282.0, ""ymin"": 384.0, ""xmax"": 377.0, ""ymax"": 480.0}, {""class"": ""RBC"", ""xmin"": 446.0, ""ymin"": 97.0, ""xmax"": 567.0, ""ymax"": 206.0}, {""class"": ""RBC"", ""xmin"": 440.0, ""ymin"": 1.0, ""xmax"": 561.0, ""ymax"": 96.0}, {""class"": ""RBC"", ""xmin"": 214.0, ""ymin"": 107.0, ""xmax"": 331.0, ""ymax"": 198.0}, {""class"": ""RBC"", ""xmin"": 298.0, ""ymin"": 85.0, ""xmax"": 435.0, ""ymax"": 211.0}, {""class"": ""RBC"", ""xmin"": 7.0, ""ymin"": 76.0, ""xmax"": 133.0, ""ymax"": 197.0}, {""class"": ""RBC"", ""xmin"": 1.0, ""ymin"": 1.0, ""xmax"": 115.0, ""ymax"": 94.0}, {""class"": ""RBC"", ""xmin"": 286.0, ""ymin"": 1.0, ""xmax"": 394.0, ""ymax"": 65.0}, {""class"": ""RBC"", ""xmin"": 154.0, ""ymin"": 13.0, ""xmax"": 289.0, ""ymax"": 127.0}, {""class"": ""Platelets"", ""xmin"": 452.0, ""ymin"": 415.0, ""xmax"": 493.0, ""ymax"": 449.0}, {""class"": ""RBC"", ""xmin"": 479.0, ""ymin"": 155.0, ""xmax"": 575.0, ""ymax"": 242.0}, {""class"": ""RBC"", ""xmin"": 135.0, ""ymin"": 393.0, ""xmax"": 231.0, ""ymax"": 480.0}]",16,1,1,18
