epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,162.691,1.17205,3.80134,0.01019,0.02082,0.59608,0.12381,0.05739,0.92618,3.17525,0.00902,0.00025722,0.00025722,0.00025722
2,166.715,1.07648,2.89659,0.0089,0.02429,0.65621,0.25956,0.18295,0.91824,2.89404,0.00874,0.000476386,0.000476386,0.000476386
3,170.601,1.13035,2.23176,0.00972,0.46008,0.62408,0.42112,0.31092,1.02335,2.32037,0.00977,0.000641792,0.000641792,0.000641792
4,174.265,1.13832,1.96652,0.0095,0.67071,0.58937,0.68666,0.45627,1.0476,2.18158,0.00995,0.00075344,0.00075344,0.00075344
5,178.011,1.16975,1.75701,0.00975,0.84984,0.44455,0.74338,0.4756,1.0947,1.88052,0.01047,0.000811329,0.000811329,0.000811329
6,181.698,1.14522,1.6546,0.00942,0.78018,0.60582,0.78768,0.50963,1.14098,1.62849,0.01079,0.000721645,0.000721645,0.000721645
7,185.375,1.10813,1.56201,0.00908,0.73734,0.71257,0.80012,0.5535,1.0728,1.33785,0.01025,0.000580174,0.000580174,0.000580174
8,189.082,1.09131,1.57058,0.00902,0.7148,0.71204,0.8014,0.56013,1.04872,1.23835,0.00992,0.000438703,0.000438703,0.000438703
9,192.756,1.10015,1.45365,0.00911,0.68565,0.74185,0.80452,0.55902,1.05588,1.20287,0.0101,0.000297232,0.000297232,0.000297232
10,196.451,1.09001,1.45688,0.00913,0.68078,0.77579,0.8079,0.56449,1.02521,1.12282,0.00969,0.000155761,0.000155761,0.000155761
