epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,91.2427,1.45478,2.41705,1.5677,0.5974,0.73444,0.69877,0.40348,1.35161,1.57923,1.42645,0.00025722,0.00025722,0.00025722
2,95.6294,1.15135,1.05567,1.26687,0.74959,0.91245,0.88578,0.58006,1.12999,1.04378,1.26417,0.000476386,0.000476386,0.000476386
3,100.393,1.12113,0.93116,1.23816,0.73864,0.88617,0.89851,0.58194,1.10637,1.16727,1.22936,0.000641792,0.000641792,0.000641792
4,104.926,1.11259,0.86301,1.22021,0.81389,0.87705,0.90499,0.60339,1.09616,0.8619,1.2411,0.00075344,0.00075344,0.00075344
5,109.431,1.10053,0.84413,1.21077,0.86663,0.86595,0.91944,0.61497,1.08764,0.8943,1.22186,0.000811329,0.000811329,0.000811329
6,113.906,1.07048,0.81956,1.18507,0.88764,0.82745,0.92682,0.6252,1.05455,0.73355,1.17685,0.000721645,0.000721645,0.000721645
7,118.37,1.05198,0.78643,1.17122,0.84249,0.89488,0.91865,0.62173,1.06017,0.75233,1.17432,0.000580174,0.000580174,0.000580174
8,122.875,1.03233,0.78789,1.15868,0.86653,0.88391,0.92009,0.6383,1.03387,0.66495,1.16173,0.000438703,0.000438703,0.000438703
9,127.385,1.02402,0.71926,1.158,0.86021,0.9154,0.92328,0.64096,1.05053,0.65888,1.16717,0.000297232,0.000297232,0.000297232
10,131.918,0.99497,0.7056,1.14595,0.86016,0.9218,0.92656,0.65013,1.02643,0.63555,1.15377,0.000155761,0.000155761,0.000155761
